user_id,template_id,attrib_id,tag_name,attrib_type,attrib_digit,attrib_name,attrib_unit,codelist_id,rank
'1','1','1','gml:description','varchar','100','gml_説明','','0','100'
'1','1','2','gml:name','varchar','100','gml_名称','','0','101'
'1','1','3','core:creationDate','varchar','100','core_作成日','','0','200'
'1','1','4','core:terminationDate','varchar','100','core_消滅日','','0','201'
'1','1','5','bldg:class','varchar','10','bldg_分類','','0','400'
'1','1','6','bldg:function','varchar','10','bldg_機能','','0','401'
'1','1','7','bldg:usage','varchar','10','bldg_用途','','0','402'
'1','1','8','bldg:yearOfConstruction','int','10','bldg_建築年','','0','403'
'1','1','9','bldg:yearOfDemolition','int','10','bldg_解体年','','0','404'
'1','1','10','bldg:roofType','varchar','10','bldg_屋根の種別','','0','405'
'1','1','11','bldg:measuredHeight','double','0','bldg_計測高さ','m','0','406'
'1','1','12','bldg:storeysAboveGround','int','10','bldg_地上階数','','0','407'
'1','1','13','bldg:storeysBelowGround','int','10','bldg_地下階数','','0','408'
'1','1','14','bldg:storeyHeightsAboveGround','varchar','100','bldg_地上階高さリスト','m','0','409'
'1','1','15','bldg:storeyHeightsBelowGround','varchar','100','bldg_地下階高さリスト','m','0','410'
'1','1','16','uro:buildingDetails/uro:BuildingDetails/uro:extendedAttribute','varchar','10','uro_拡張属性','','0','500'
'1','1','17','uro:buildingDetails/uro:BuildingDetails/uro:serialNumberOfBuildingCertification','varchar','100','uro_建築確認申請番号','','0','501'
'1','1','18','uro:buildingDetails/uro:BuildingDetails/uro:siteArea','double','0','uro_敷地面積','m2','0','502'
'1','1','19','uro:buildingDetails/uro:BuildingDetails/uro:totalFloorArea','double','0','uro_延べ床面積','m2','0','503'
'1','1','20','uro:buildingDetails/uro:BuildingDetails/uro:buildingFootprintArea','double','0','uro_建築面積','m2','0','504'
'1','1','21','uro:buildingDetails/uro:BuildingDetails/uro:buildingRoofEdgeArea','double','0','uro_水平投影面積','m2','0','505'
'1','1','22','uro:buildingDetails/uro:BuildingDetails/uro:developmentArea','double','0','uro_開発面積','m2','0','506'
'1','1','23','uro:buildingDetails/uro:BuildingDetails/uro:buildingStructureType','varchar','10','uro_構造種別','','0','507'
'1','1','24','uro:buildingDetails/uro:BuildingDetails/uro:fireproofStructureType','varchar','10','uro_耐火構造種別','','0','508'
'1','1','25','uro:buildingDetails/uro:BuildingDetails/uro:implementingBody','varchar','100','uro_事業主体','','0','509'
'1','1','26','uro:buildingDetails/uro:BuildingDetails/uro:urbanPlanType','varchar','10','uro_都市計画区域','','0','510'
'1','1','27','uro:buildingDetails/uro:BuildingDetails/uro:districtsAndZonesType','varchar','10','uro_地域地区','','0','511'
'1','1','28','uro:buildingDetails/uro:BuildingDetails/uro:areaClassificationType','varchar','10','uro_区域区分','','0','512'
